"country","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi"
"Colombia",194.012548326692,100.444884370763,287.580212282621,63.2273036957523,32.7342703529718,93.7203370385328
"Comoros",5.72872658620167,1.59712384742831,9.86032932497503,1.86695107496751,0.520491253849405,3.21341089608561
"Congo - Brazzaville",505.697194222906,125.642654047171,885.751734398641,164.803103474429,40.9460435064443,288.660163442414
"Congo - Kinshasa",10412.2462821203,2636.9630674571,18187.5294967835,3393.27669015528,859.367428233786,5927.18595207677
"Costa Rica",3.56677037490925,1.3647548938533,5.7687858559652,1.16238498825168,0.444763871657549,1.8800061048458
"Croatia",0.123256317618654,0.0712385145347799,0.175274120702528,0.0401683535096506,0.0232161230403524,0.0571205839789488
"Cuba",3.22116181099371,2.23695539461065,4.20536822737678,1.0497536259042,0.729007784850792,1.37049946695761
"Curaçao",0.0718189713506285,0.0344280171495311,0.109209925551726,0.0234052897705173,0.011219844874624,0.0355907346664107
"Cyprus",1.27537527014551,0.815916177356913,1.7348343629341,0.415635690717063,0.265901254227922,0.565370127206203
"Czechia",2.09536033428385,1.33950535412137,2.85121531444633,0.682862966083576,0.436535227012768,0.929190705154384
"Côte d’Ivoire",863.929120298435,222.695353608112,1505.16288698876,281.548329382972,72.5748250597864,490.521833706158
"Denmark",2.26082823234397,1.4455189537349,3.07613751095303,0.736787772147811,0.471084301886821,1.0024912424088
"Djibouti",33.1657407222561,13.7702694535455,52.5612119909667,10.8084780032352,4.48763245584294,17.1293235506275
"Dominican Republic",52.6586090871028,25.1552332470328,80.1619849271728,17.1610645685647,8.1979108349705,26.124218302159
"Ecuador",78.4257103353541,41.1747456350225,115.676675035686,25.5583788146467,13.4185554971279,37.6982021321654
"Egypt",192.226185300837,128.386864272061,256.065506329612,62.6451407453619,41.8403620172341,83.4499194734897
"El Salvador",18.6977807622753,9.78610871356662,27.609452810984,6.09347319484865,3.18922292897484,8.99772346072246
"Equatorial Guinea",153.304112505695,41.6393283260871,264.968896685304,49.9607152362311,13.569959677698,86.3514707947641
"Eritrea",44.0154301738533,-9.49210275334303,97.5229631010497,14.344314297729,-3.09340848658054,31.7820370820385
"Estonia",0.290948183827643,0.170712088690102,0.411184278965184,0.0948179349081158,0.0556338503320421,0.13400201948419
"Eswatini",63.3685770964833,13.3057987674451,113.431355425522,20.6513666430504,4.33626477689059,36.9664685092102
"Ethiopia",4535.08309786228,1404.42442328012,7665.74177244444,1477.95118814262,457.69188794397,2498.21048834127
"Fiji",6.84092595043698,3.20380672864293,10.478045172231,2.22940890349062,1.04409772853095,3.41472007845029
"Finland",2.11670484992852,1.32254705696873,2.91086264288831,0.689818991271349,0.431008639101417,0.948629343441281
"France",43.9112835778084,29.5183733538965,58.3041938017203,14.3103736659822,9.61982703051091,19.0009203014535
"French Polynesia",0.292536344395486,0.201279449236088,0.383793239554885,0.0953355050931719,0.0655955347956894,0.125075475390654
"Gabon",261.448116594227,70.3386415833409,452.557591605113,85.2040737115115,22.9228608731423,147.485286549881
"Gambia",85.9771009871271,35.0447549306862,136.909447043568,28.0193230895548,11.4208353122326,44.6178108668771
"Georgia",23.9171598894939,12.5484273363675,35.2858924426203,7.79443157112971,4.08944283729833,11.4994203049611
"Germany",36.3217417110969,26.4684010233847,46.1750823988092,11.8369961826343,8.62586283351376,15.0481295317548
"Ghana",860.997098110392,-51.1082215934132,1773.1024178142,280.592804294904,-16.6558043585677,577.841412948377
"Greece",1.46337258971424,0.922221071888401,2.00452410754007,0.476902674326515,0.300545260035059,0.65326008861797
"Grenada",0,0,0,0,0,0
"Guam",0.505630460141427,0.332272186195523,0.678988734087332,0.164781355313947,0.108285132108362,0.221277578519532
"Guatemala",63.2088642180897,28.041778957795,98.3759494783845,20.5993173567882,9.13861546392426,32.0600192496521
"Guinea",699.282737620569,198.136070468235,1200.4294047729,227.891249313846,64.5711301079514,391.211368519741
"Guinea-Bissau",169.906338238994,48.6778402692431,291.134836208744,55.3712620153863,15.8637604448873,94.8787635858854
"Guyana",4.02927725236698,2.17347285538395,5.88508164935,1.3131126759946,0.708319278763521,1.91790607322567
"Haiti",357.006417443151,151.467516220328,562.545318665975,116.345841398884,49.3621816253747,183.329501172394
"Honduras",34.3174801429119,13.7984828583645,54.8364774274594,11.1838216537168,4.49682700294915,17.8708163044845
"Hong Kong SAR China",18.6933389953433,13.7345238675704,23.6521541231162,6.09202565473242,4.47598322469929,7.70806808476554
"Hungary",2.18223347292799,1.52051676234975,2.84395018350623,0.711174301445283,0.495525552015766,0.926823050874799
"Iceland",0.241405611158145,0.116126501207943,0.366684721108347,0.0786723643506456,0.0378447972686601,0.119499931432631
"India",41266.1747727283,25028.5746990702,57503.7748463864,13448.3516000409,8156.63371889341,18740.0694811884
"Indonesia",11734.5019778278,8426.69018820388,15042.3137674517,3824.19037670281,2746.19814169144,4902.18261171419
"Iran",81.7945560699031,33.6191183502068,129.969993789599,26.6562615763523,10.9562305337728,42.3562926189319
"Iraq",184.974645527927,114.854290666428,255.095000389425,60.2819157300832,37.4301929403984,83.133638519768
"Ireland",3.25346795187025,1.95435535878326,4.55258054495724,1.06028196645772,0.636910451746331,1.4836534811691
"Israel",3.57337591413411,2.28657405539133,4.86017777287688,1.16453768630263,0.745178151980211,1.58389722062506
"Italy",16.6647790814398,10.2293205904398,23.1002375724397,5.43093246850492,3.33366251384869,7.52820242316115
"Jamaica",0.189110714720519,0.0909964700542981,0.287224959386741,0.0616298311365979,0.0296550996159097,0.0936045626572861
"Japan",35.672017481171,26.6687109280494,44.6753240342925,11.6252556969888,8.69114240065896,14.5593689933185
"Jordan",10.8342788877396,2.69573901982235,18.9728187556568,3.53081410180799,0.878522091281391,6.18310611233458
"Kazakhstan",210.358875698974,62.4126439773576,358.30510742059,68.5544550268976,20.339834867621,116.769075186174
"Kenya",2094.563687191,467.292613136858,3721.83476124515,682.603344486353,152.287324816923,1212.91936415578
"Kiribati",10.7448096380473,4.61356092065301,16.8760583554417,3.50165671239936,1.50352655003424,5.49978687476447
"Kuwait",8.00978293968787,5.14540282927872,10.874163050097,2.61033104730899,1.67685002918458,3.54381206543341
"Kyrgyzstan",150.122195135881,86.4890400868285,213.755350184933,48.9237510933896,28.1861603854396,69.6613418013397
"Laos",77.8136578455709,17.0653556604806,138.561960030661,25.3589152800298,5.56147751435304,45.1563530457066
"Latvia",2.01811212390809,1.33073975819476,2.70548448962142,0.657688326095047,0.433678581911685,0.88169807027841
"Lebanon",12.9086242891921,8.19612955976609,17.6211190186181,4.2068284513885,2.6710600797452,5.7425968230318
"Lesotho",143.507601675704,33.1575224251933,253.857680926215,46.7681023318143,10.8057997189246,82.7304049447041
"Liberia",335.361134499312,94.754103790514,575.96816520811,109.291798296651,30.8796856103015,187.703910983
"Libya",34.9252736162201,7.4790785418617,62.3714686905785,11.381897205286,2.43737827480314,20.3264161357689
"Lithuania",3.93428062837979,2.62889807024313,5.23966318651645,1.28215395478449,0.856739103248878,1.70756880632009
"Luxembourg",0.26665685301154,0.15871493817041,0.374598767852669,0.0869015637046535,0.0517240646716069,0.1220790627377
"Macao SAR China",2.66531426099083,1.7684026892551,3.56222583272656,0.868606879697904,0.576309804980456,1.16090395441535
"Madagascar",1619.28366304784,391.430438673558,2847.13688742212,527.712979475412,127.564384032008,927.861574918817
"Malawi",521.430726490052,23.8349133222413,1019.02653965786,169.930549257919,7.76762800233755,332.0934705135
